file,label
aiphaton_vs_porter_0,0
aiphaton_vs_porter_1,0
aiphaton_vs_porter_2,0
aiphaton_vs_porter_3,0
aiphaton_vs_porter_4,1
aiphaton_vs_porter_5,0
aiphaton_vs_porter_6,0
aiphaton_vs_porter_7,1
aiphaton_vs_porter_8,0
aiphaton_vs_porter_9,1
aiphaton_vs_porter_10,0
aiphaton_vs_porter_11,1
aiphaton_vs_porter_12,0
aiphaton_vs_porter_13,1
aiphaton_vs_porter_14,0
aiphaton_vs_porter_15,1
aiphaton_vs_porter_16,0
aiphaton_vs_porter_17,1
aiphaton_vs_porter_18,0
aiphaton_vs_porter_19,1
aiphaton_vs_porter_20,0
aiphaton_vs_porter_21,0
aiphaton_vs_porter_22,1
aiphaton_vs_porter_23,0
aiphaton_vs_porter_24,1
aiphaton_vs_porter_25,0
natping_vs_wlad_0,1
natping_vs_wlad_1,0
natping_vs_wlad_2,1
natping_vs_wlad_3,0
natping_vs_wlad_4,1
natping_vs_wlad_5,0
natping_vs_wlad_6,0
natping_vs_wlad_7,0
natping_vs_wlad_8,0
natping_vs_wlad_9,0
natping_vs_wlad_10,0
natping_vs_wlad_11,1
natping_vs_wlad_12,0
natping_vs_wlad_13,0
natping_vs_wlad_14,1
natping_vs_wlad_15,0
natping_vs_wlad_16,1
natping_vs_wlad_17,0
natping_vs_wlad_18,0
natping_vs_wlad_19,0
natping_vs_wlad_20,0
natping_vs_wlad_21,0
natping_vs_wlad_22,0
natping_vs_wlad_23,0
natping_vs_wlad_24,1
natping_vs_wlad_25,0
natping_vs_wlad_26,0
natping_vs_wlad_27,1
natping_vs_wlad_28,0
natping_vs_wlad_29,1
tttorpedo_vs_emart_0,0
tttorpedo_vs_emart_1,0
tttorpedo_vs_emart_2,0
tttorpedo_vs_emart_3,1
tttorpedo_vs_emart_4,0
tttorpedo_vs_emart_5,0
tttorpedo_vs_emart_6,1
tttorpedo_vs_emart_7,0
tttorpedo_vs_emart_8,1
tttorpedo_vs_emart_9,0
tttorpedo_vs_emart_10,0
tttorpedo_vs_emart_11,1
tttorpedo_vs_emart_12,0
tttorpedo_vs_emart_13,1
tttorpedo_vs_emart_14,0
tttorpedo_vs_emart_15,0
tttorpedo_vs_emart_16,0
tttorpedo_vs_emart_17,0
tttorpedo_vs_emart_18,0
tttorpedo_vs_emart_19,0
tttorpedo_vs_emart_20,0
tttorpedo_vs_emart_21,1
tttorpedo_vs_emart_22,0
tttorpedo_vs_emart_23,0
tttorpedo_vs_emart_24,1
tttorpedo_vs_emart_25,0
tttorpedo_vs_emart_26,1
tttorpedo_vs_emart_27,0
tttorpedo_vs_emart_28,1
tttorpedo_vs_emart_29,0
tttorpedo_vs_emart_30,1
prott_vs_swiss_c1_1,1
prott_vs_swiss_c1_2,0
prott_vs_swiss_c1_3,0
prott_vs_swiss_c1_4,1
prott_vs_swiss_c1_5,0
prott_vs_swiss_c1_6,0
prott_vs_swiss_c1_7,0
prott_vs_swiss_c1_8,1
prott_vs_swiss_c1_9,0
prott_vs_swiss_c1_10,1
prott_vs_swiss_c1_11,0
prott_vs_swiss_c1_12,0
prott_vs_swiss_c1_13,0
prott_vs_swiss_c1_14,0
prott_vs_swiss_c1_15,0
prott_vs_swiss_c1_16,0
prott_vs_swiss_c1_17,0
prott_vs_swiss_c1_18,0
prott_vs_swiss_c1_19,0
prott_vs_swiss_c1_20,1
prott_vs_swiss_c1_21,0
prott_vs_swiss_c1_22,0
prott_vs_swiss_c1_23,0
prott_vs_swiss_c1_24,0
prott_vs_swiss_c1_25,1
prott_vs_swiss_c1_26,0
prott_vs_swiss_c1_27,0
prott_vs_swiss_c1_28,1
prott_vs_swiss_c1_29,0
prott_vs_swiss_c1_30,1
prott_vs_swiss_c1_31,0
prott_vs_swiss_c1_32,1
prott_vs_swiss_c1_33,0
prott_vs_swiss_c1_34,1
prott_vs_swiss_c1_35,0
prott_vs_swiss_c1_36,0
prott_vs_swiss_c1_37,0
prott_vs_swiss_c1_38,0
prott_vs_swiss_c1_39,0
prott_vs_swiss_c1_40,0
prott_vs_swiss_c2_0,0
prott_vs_swiss_c2_1,1
prott_vs_swiss_c2_2,0
prott_vs_swiss_c2_3,0
prott_vs_swiss_c2_4,1
prott_vs_swiss_c2_5,0
prott_vs_swiss_c2_6,1
prott_vs_swiss_c2_7,0
prott_vs_swiss_c2_8,0
prott_vs_swiss_c2_9,0
prott_vs_swiss_c2_10,0
prott_vs_swiss_c2_11,0
prott_vs_swiss_c2_12,0
prott_vs_swiss_c2_13,0
prott_vs_swiss_c2_14,0
prott_vs_swiss_c2_15,0
prott_vs_swiss_c2_16,0
prott_vs_swiss_c2_17,0
prott_vs_swiss_c2_18,0
prott_vs_swiss_c2_19,0
prott_vs_swiss_c2_20,0
prott_vs_swiss_c2_21,1
prott_vs_swiss_c2_22,0
prott_vs_swiss_c2_23,0
prott_vs_swiss_c2_24,1
prott_vs_swiss_c2_25,0
prott_vs_swiss_c2_26,1
prott_vs_swiss_c2_27,0
prott_vs_swiss_c2_28,1
prott_vs_swiss_c2_29,0
prott_vs_swiss_c2_30,1
prott_vs_swiss_c2_31,0
prott_vs_swiss_c2_32,1
prott_vs_swiss_c2_33,0
prott_vs_swiss_c2_34,1
prott_vs_swiss_c2_35,0
prott_vs_swiss_c2_36,1
prott_vs_swiss_c2_37,0
prott_vs_swiss_c2_38,1
prott_vs_swiss_c2_39,0
prott_vs_swiss_c2_40,1
prott_vs_swiss_c2_41,0
prott_vs_swiss_c2_42,1
prott_vs_swiss_c2_43,0
prott_vs_swiss_c2_44,1
prott_vs_swiss_c2_45,0
prott_vs_swiss_c2_46,1
prott_vs_swiss_c2_47,0
prott_vs_swiss_c2_48,1
prott_vs_swiss_c2_49,0
prott_vs_swiss_c2_50,1
prott_vs_swiss_c2_51,0
prott_vs_swiss_c2_52,1
prott_vs_swiss_c2_53,0
prott_vs_swiss_c2_54,0
prott_vs_swiss_c2_55,1
prott_vs_swiss_c2_56,0
prott_vs_swiss_c2_57,1
prott_vs_swiss_c2_58,0
prott_vs_swiss_c2_59,1
prott_vs_swiss_c2_60,0
prott_vs_swiss_c2_61,0
prott_vs_swiss_c2_62,1
prott_vs_swiss_c2_63,0
prott_vs_swiss_c2_64,1
prott_vs_swiss_c2_65,0
prott_vs_swiss_c2_66,0
prott_vs_swiss_c2_67,1
prott_vs_swiss_c2_68,0
prott_vs_swiss_c2_69,0
prott_vs_swiss_c2_70,1
prott_vs_swiss_c2_71,0
prott_vs_swiss_c2_72,0
prott_vs_swiss_c2_73,1
prott_vs_swiss_c2_118,1
clips_2_0,0
clips_2_1,0
clips_2_2,0
clips_2_3,0
clips_2_4,0
clips_2_5,0
clips_2_6,0
clips_2_7,0
clips_2_8,0
clips_2_9,0
clips_2_10,0
clips_2_11,0
clips_2_12,0
clips_2_13,0
clips_2_14,0
clips_2_15,1
clips_2_16,0
clips_2_17,0
clips_2_18,0
clips_2_19,0
clips_2_20,1
clips_2_21,0
clips_2_22,0
clips_2_23,1
clips_2_24,0
clips_2_25,0
clips_2_26,1
clips_2_27,0
clips_2_28,1
clips_2_29,0
clips_2_30,1
